"waterTemperature","swimSpeed","mass","storageLevel","meanThermo","sdThermo"
-5,2.35,10,0.055,808464.699862692,87769.2989661533
-5,2.35,10,0.06,737969.454125314,77869.2223713227
-5,2.35,10,0.08,520117.595408621,65143.9212548449
-5,2.35,10,0.12,303618.997085057,51845.4933353917
-5,2.35,10,0.2,123339.746936852,26926.1265907615
-5,2.35,10,0.36,3410.912422532,15737.6473362164
-5,2.35,10,0.68,-67593.014887079,7279.72574183961
-5,2.35,20,0.05,925482.476213058,103466.830003686
-5,2.35,20,0.0525,871653.287038388,116650.902314972
-5,2.35,20,0.055,824418.052784449,124335.758123722
-5,2.35,20,0.06,736911.707125815,106318.000436126
-5,2.35,20,0.08,486467.881278303,65105.9573276356
-5,2.35,20,0.12,256447.475306997,45590.6046205918
-5,2.35,20,0.2,56566.029884323,29937.2750022534
-5,2.35,20,0.36,-71964.9793215884,16868.9320475872
-5,2.35,20,0.68,-148854.03952309,8684.14881967206
-5,2.35,30,0.05,930188.388584274,107367.035011148
-5,2.35,30,0.0525,879050.402281923,130598.763263372
-5,2.35,30,0.055,808461.753090611,126089.916205245
-5,2.35,30,0.06,733949.314941625,120431.636956023
-5,2.35,30,0.08,471894.787492089,80787.128561284
-5,2.35,30,0.12,211626.421555621,52068.0128409636
-5,2.35,30,0.2,-11345.036187677,31071.4344277587
-5,2.35,30,0.36,-140385.447385045,17440.2118309746
-5,2.35,30,0.68,-223839.867463169,9475.12094350408
-5,2.35,40,0.05,890821.358263017,131076.027392795
-5,2.35,40,0.0525,846412.102215134,126315.315871779
-5,2.35,40,0.055,768958.59906493,133208.405256565
-5,2.35,40,0.06,684739.017128621,118730.138130171
-5,2.35,40,0.08,430003.289000039,80178.729464026
-5,2.35,40,0.12,165110.789187108,54083.6092863065
-5,2.35,40,0.2,-57080.3209711327,34489.6405641551
-5,2.35,40,0.36,-205061.494558839,18126.2887493934
-5,2.35,40,0.68,-293220.617231561,11182.4509344073
-5,2.35,50,0.05,894700.814375366,126998.430466396
-5,2.35,50,0.0525,817384.323196554,125345.477339827
-5,2.35,50,0.055,770573.740881801,124549.105942931
-5,2.35,50,0.06,660727.109492268,114416.717874593
-5,2.35,50,0.08,379070.947073295,86130.1561912396
-5,2.35,50,0.12,103037.542914727,50167.5661437918
-5,2.35,50,0.2,-115664.509045337,35311.7907882706
-5,2.35,50,0.36,-269020.68413696,18681.6205498864
-5,2.35,50,0.68,-356183.870466667,11369.8012213757
-5,2.35,60,0.05,855505.260806526,144532.51407076
-5,2.35,60,0.0525,772311.103236799,136884.243763978
-5,2.35,60,0.055,742876.759388183,132825.679651998
-5,2.35,60,0.06,631296.784141415,128711.265007379
-5,2.35,60,0.08,332211.472424695,85867.6105124558
-5,2.35,60,0.12,56043.7229688674,52928.8186506553
-5,2.35,60,0.2,-171536.810969375,35887.4133896731
-5,2.35,60,0.36,-324249.984112516,22349.977776601
-5,2.35,60,0.68,-414007.933740929,10940.2136986887
-5,2.35,70,0.05,831665.170645286,131548.30639821
-5,2.35,70,0.0525,744280.569561515,133821.935353933
-5,2.35,70,0.055,705353.10274839,131250.625709063
-5,2.35,70,0.06,590493.05738968,127007.390685808
-5,2.35,70,0.08,297847.509674966,89406.8525805259
-5,2.35,70,0.12,7157.25974569281,55216.4614795914
-5,2.35,70,0.2,-223868.083661477,40580.5846631579
-5,2.35,70,0.36,-383880.941278128,19726.2799585164
-5,2.35,70,0.68,-476652.62374109,11782.3318593728
-5,2.35,80,0.05,793588.562676764,136870.41361325
-5,2.35,80,0.0525,725150.450164897,119640.448976803
-5,2.35,80,0.055,646944.910252726,126294.864467144
-5,2.35,80,0.06,558014.73544607,133270.663119574
-5,2.35,80,0.08,259039.655470257,94643.4410918458
-5,2.35,80,0.12,-38391.8075635017,61823.0664894775
-5,2.35,80,0.2,-277472.473652256,33633.4348240895
-5,2.35,80,0.36,-438798.056891593,19561.490370332
-5,2.35,80,0.68,-531209.26382482,13413.2404778152
-5,2.35,90,0.05,756240.051233741,140329.924779257
-5,2.35,90,0.0525,708390.582376181,127579.329737515
-5,2.35,90,0.055,610406.762520392,129665.610179949
-5,2.35,90,0.06,494341.091045571,112493.718880654
-5,2.35,90,0.08,208749.893555722,90630.062920937
-5,2.35,90,0.12,-88918.1876411401,63176.0501094052
-5,2.35,90,0.2,-329938.070089072,34205.4539018077
-5,2.35,90,0.36,-490779.623740332,21572.1437870927
-5,2.35,90,0.68,-587199.131960193,13306.3132150301
-5,2.82,10,0.05,892340.28539432,109028.35424829
-5,2.82,10,0.0525,854508.930512129,100065.288294424
-5,2.82,10,0.055,813888.223989664,77920.4360459036
-5,2.82,10,0.06,714331.853061285,84668.7908647939
-5,2.82,10,0.08,515614.585071753,63089.1389285144
-5,2.82,10,0.12,281064.91955377,46405.2602451871
